"Name","Commit","Runtime","GitHub","Hostname","Notes","GPU Type","Tags","_attn_implementation_autoset","batch_size","clip_length","epochs","eval_batch_size","frame_step","initial_offset","learning_rate","lr","min_frames","per_device_eval_batch_size","per_device_train_batch_size","problem_type","sample_rate","save_total_limit","train_batch_size","train_dataset_path","trial_number","val_dataset_path","weight_decay","eval/accuracy","eval/f1-score","eval/loss","eval/runtime","eval/samples_per_second","eval/steps_per_second","eval/top-5 accuracy","total_flos","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"filtered","3ce4657d0380660d3765c440605ec4789bd15577","4062","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","9dfe9711314c","-","Tesla V100-SXM2-32GB","","true","","8","5","4","1","5","0.00001","0.00001","8","4","4","","1","2","4","./filtered","","./HMDB_simp/","0.095","0.8428895367670878","0.674057075837444","0.7967535853385925","120.002","25.725","6.433","0.9484936594963074","23742035986038130000","6760","0.001756617333739996","1.4792899408284023e-9","0.0001","0.22142062653101943","3939.443","6.861","1.716"
"brightnes/contrast-aug","68ddfe007e7005690e942108e4a9d33a3232f337","463","https://github.com/Elisa-tea/EEEM068/tree/68ddfe007e7005690e942108e4a9d33a3232f337","DESKTOP-2PS7FFF","-","NVIDIA GeForce RTX 4080 SUPER","aug","true","","8","5","4","8","5","0.00001","0.00001","8","4","4","","1","2","4","C:\Users\Serge\Lisa\EEEM068\HMDB_simp_clean\HMDB_simp_clean","","C:\Users\Serge\Lisa\EEEM068\HMDB_simp_clean\HMDB_simp_clean","0.095","0.8402555910543131","0.7254774351442789","0.6429100036621094","6.5298","47.934","12.098","0.97444087266922","5379947111153664000","1535","0.3435598909854889","3.9087947882736166e-8","0.0016","0.7641564079548205","446.4889","13.718","3.438"
"noise/quality-aug","3ce4657d0380660d3765c440605ec4789bd15577","469","https://github.com/Elisa-tea/EEEM068/tree/3ce4657d0380660d3765c440605ec4789bd15577","DESKTOP-2PS7FFF","-","NVIDIA GeForce RTX 4080 SUPER","aug","true","","8","5","4","8","5","0.00001","0.00001","8","4","4","","1","2","4","C:\Users\Serge\Lisa\EEEM068\HMDB_simp_clean\HMDB_simp_clean","","C:\Users\Serge\Lisa\EEEM068\HMDB_simp_clean\HMDB_simp_clean","0.095","0.8209459459459459","0.7085404325110208","0.7146755456924438","6.1665","48.001","12","0.966216206550598","5454607601675796000","1555","0.16822472214698792","3.858520900321544e-8","0.0199","0.7471140451390907","449.9821","13.801","3.456"
"2-full-aug","3ce4657d0380660d3765c440605ec4789bd15577","879","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","9dfe9711314c","-","Tesla V100-SXM2-32GB","aug","true","","8","5","4","8","5","0.00001","0.00001","8","4","4","","1","2","4","./HMDB_simp/","","./HMDB_simp/","0.095","0.8461538461538461","0.7359665376127887","0.7254624366760254","12.0445","25.904","6.476","0.94551283121109","5384338904713789000","1535","0.09754901379346848","3.9087947882736166e-8","0.0022","0.7820382326729111","821.3237","7.464","1.869"
"r3d","3ce4657d0380660d3765c440605ec4789bd15577","884","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","9dfe9711314c","-","Tesla V100-SXM2-32GB","","","","8","10","4","8","5","0.00001","0.00001","8","4","4","","1","2","4","./HMDB_simp/","","./HMDB_simp/","0.095","0.696551724137931","0.5739080014749548","1.289011001586914","4.6267","62.68","15.778","0.9206896424293518","0","3120","10.030868530273438","3.2051282051282054e-9","1.4026","1.9495994387528832","830.496","15.027","3.757"
"1.c-equidistant","3ce4657d0380660d3765c440605ec4789bd15577","3011","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","9dfe9711314c","-","Tesla V100-SXM2-32GB","","true","","32","5","4","8","5","0.00001","0.00001","32","4","2","","0","2","2","./HMDB_simp/","","./HMDB_simp/","0.095","0.8346774193548387","0.8025196632983683","0.6820504069328308","44.0596","5.629","1.407","0.975806474685669","17391502498096742000","2475","0.07815714925527573","2.4242424242424243e-8","0.0009","0.754166413294857","2915.3582","1.698","0.849"
"1.b-equidistant","3ce4657d0380660d3765c440605ec4789bd15577","1419","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","9dfe9711314c","-","Tesla V100-SXM2-32GB","","true","","16","5","4","8","5","0.00001","0.00001","16","4","4","","0","2","4","./HMDB_simp/","","./HMDB_simp/","0.095","0.82","0.8183040131523104","0.7335547804832458","20.1693","12.395","3.124","0.9639999866485596","8783587120250880000","1250","0.3447783887386322","8e-9","0.0115","1.0057370006263255","1348.964","3.707","0.927"
"1.b-fixed","3ce4657d0380660d3765c440605ec4789bd15577","1707","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","9dfe9711314c","-","Tesla V100-SXM2-32GB","","true","","16","5","4","4","5","0.00001","0.00001","8","4","4","","1","2","4","./HMDB_simp/","","./HMDB_simp/","0.095","0.8397212543554007","0.7297116908785021","0.6964434385299683","23.2925","12.322","3.091","0.9547038078308104","10707192699585825000","1525","0.0762096494436264","3.9344262295081975e-8","0.0078","0.7336259196655917","1634.4923","3.729","0.933"
"1.a-equidistant","3ce4657d0380660d3765c440605ec4789bd15577","721","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","9dfe9711314c","-","Tesla V100-SXM2-32GB","","true","","8","5","4","8","5","0.00001","0.00001","8","4","4","","0","2","4","./HMDB_simp/","","./HMDB_simp/","0.095","0.82","0.8181646804758933","0.7275893688201904","9.614","26.004","6.553","0.9480000138282776","4391793560125440000","1250","0.28373342752456665","8e-9","0.0036","1.0309120002925396","673.5821","7.423","1.856"
"1.a-fixed","3ce4657d0380660d3765c440605ec4789bd15577","874","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","9dfe9711314c","-","Tesla V100-SXM2-32GB","","true","","8","5","4","8","5","0.00001","0.00001","8","4","4","","1","2","4","./HMDB_simp/","","./HMDB_simp/","0.095","0.8517350157728707","0.7188724229943141","0.5748304128646851","12.2015","25.98","6.557","0.9684542417526244","5362379936913162000","1530","0.0547984279692173","6.535947712418301e-9","0.0015","0.7598970916091763","823.9809","7.409","1.857"
